id,voice_id,name,description,language,gender,file_name
50,01_世界真相局_原声A,TruthBureau,Chinese male commentary style. Source: YouTube kdvRqPHdN4Q clip A.,zh,female,01_世界真相局_原声A.mp3
51,03_马司库_原声A,Masiku,Chinese male narration style. Source: YouTube 9WGgnfM6xJs clip A.,zh,male,03_马司库_原声A.mp3
11,Bill,Bill,ElevenLabs voice library preset (Bill),en,male,Bill.mp3
1,Churcher,Churcher,audiobooks,en,female,Churcher.mp3
8,Clara,Clara,ElevenLabs voice library preset (Clara),en,female,Clara.mp3
4,Dinesen,Dinesen,audiobook,en,female,Dinesen.mp3
18,EL_Allison,Allison,Energetic clear bubbly,en,female,EL_Allison.mp3
27,EL_Amelia,Amelia,Enthusiastic and expressive,en,female,EL_Amelia.mp3
19,EL_Amy,Amy,Upbeat and excited,en,female,EL_Amy.mp3
41,EL_Andrew_Smooth_Clear,EL_Andrew_Smooth_Clear,Smooth clear modern narrator,en,male,EL_Andrew_Smooth_Clear.mp3
17,EL_Archer,Archer,Conversational,en,male,EL_Archer.mp3
26,EL_Brittney,Brittney,Relaxing calm and meditative,en,female,EL_Brittney.mp3
42,EL_Bryan_Polished_Measured,EL_Bryan_Polished_Measured,Measured professional narrator,en,male,EL_Bryan_Polished_Measured.mp3
20,EL_Charmion,Charmion,Soft and husky,en,female,EL_Charmion.mp3
25,EL_Danielle,Danielle,Gentle and engaging narrator,en,female,EL_Danielle.mp3
44,EL_Danielle_Gentle_Engaging,EL_Danielle_Gentle_Engaging,Gentle engaging narrator option,en,female,EL_Danielle_Gentle_Engaging.mp3
22,EL_David,David,Gruff cowboy,en,male,EL_David.mp3
29,EL_David_American_Narrator,EL_David_American_Narrator,Professional American middle-aged narrator voice actor read,en,male,EL_David_American_Narrator.mp3
28,EL_David_Castlemore,EL_David_Castlemore,Clear crisp broadcast-style professional narrator for long-form reading,en,male,EL_David_Castlemore.mp3
35,EL_David_Movie_Trailer,EL_David_Movie_Trailer,Cinematic male narrator candidate,en,male,EL_David_Movie_Trailer.mp3
33,EL_Declan_Sage_Authoritative,EL_Declan_Sage_Authoritative,Authoritative storyteller with weight and slower authority,en,male,EL_Declan_Sage_Authoritative.mp3
30,EL_Frederick_Surrey,EL_Frederick_Surrey,Calm well-spoken British narrator with intrigue and documentary weight,en,male,EL_Frederick_Surrey.mp3
16,EL_Henry,Henry,Deep professional and soothing,en,male,EL_Henry.mp3
23,EL_Hope,Hope,Natural clear and calm,en,female,EL_Hope.mp3
46,EL_Hope_Professional_Clear,EL_Hope_Professional_Clear,Clear natural professional narrator,en,female,EL_Hope_Professional_Clear.mp3
21,EL_Jameson,Jameson,Guided narration,en,male,EL_Jameson.mp3
39,EL_JerryB_Commanding_Gritty,EL_JerryB_Commanding_Gritty,Commanding gritty storyteller,en,male,EL_JerryB_Commanding_Gritty.mp3
40,EL_JohnDoe_Gentle,EL_JohnDoe_Gentle,Gentle baritone option,en,male,EL_JohnDoe_Gentle.mp3
31,EL_Jonathan_Calm_Narrator,EL_Jonathan_Calm_Narrator,Youthful UK audiobook narrator with calm engaging delivery,en,male,EL_Jonathan_Calm_Narrator.mp3
43,EL_Juniper_Grounded_Professional,EL_Juniper_Grounded_Professional,Grounded professional narrator option,en,female,EL_Juniper_Grounded_Professional.mp3
24,EL_LavenderLessons,LavenderLessons,Calm museum-style voice,en,female,EL_LavenderLessons.mp3
45,EL_Liberty_Warm_Professional,EL_Liberty_Warm_Professional,Warm professional female narrator,en,female,EL_Liberty_Warm_Professional.mp3
36,EL_Mark_Casual_Conversational,EL_Mark_Casual_Conversational,"Lower, more casual male storyteller candidate",en,male,EL_Mark_Casual_Conversational.mp3
15,EL_Michael_C_Vincent,Michael C. Vincent,Suspenseful storyteller,en,male,EL_Michael_C_Vincent.mp3
37,EL_Nathaniel_Deep_Mature,EL_Nathaniel_Deep_Mature,Deep mature male narrator candidate,en,male,EL_Nathaniel_Deep_Mature.mp3
38,EL_Rick_Persuasive_Narrative,EL_Rick_Persuasive_Narrative,Narrative male with lower persuasive tone,en,male,EL_Rick_Persuasive_Narrative.mp3
34,EL_Thomas_Louis_Podcast,EL_Thomas_Louis_Podcast,Podcast-style male narrator candidate,en,male,EL_Thomas_Louis_Podcast.mp3
6,Hope,Hope,ElevenLabs voice library preset (Hope),en,female,Hope.mp3
12,Jessica,Jessica,ElevenLabs voice library preset (Jessica),en,male,Jessica.mp3
13,Joa,Joa,Youthful female,en,female,Joa.mp3
10,Scarlett,Scarlett,audiobook,en,female,Scarlett.mp3
68,baigang,白钢,audiobook,zh,male,baigang.mp3
63,benyinwuyu,本音物语,audiobook,zh,male,benyinwuyu.mp3
64,bingling01,冰灵,narrator,zh,female,bingling01.mp3
65,bingling02,冰灵,audiobook,zh,female,bingling02.mp3
14,Hale,Hale,Hale - Great for Commercials,en,male,Hale.mp3
5,dorothy,dorothy,"Hope - Natural, Clear and Calm",en,female,dorothy.mp3
3,Tara,Tara,Tara - Conversational and Expressive,en,female,Tara.mp3
7,William,William Shanks,William Shanks - Rich and Deep,en,male,William.mp3
57,liyemo,李野墨,audiobook,zh,male,liyemo.mp3
62,maobenkaixi,猫本凯西,narrator,zh,female,maobenkaixi.mp3
2,LavenderLessons,LavenderLessons,ElevenLabs voice library preset (LavenderLessons),en,female,LavenderLessons.mp3
9,Cartwell,Cartwell,"Ian Cartwell - Suspense, Mystery and Thriller",en,male,Cartwell.mp3
47,narrator_sample,YTQ9NarratorSample,the last kiss before die,en,male,narrator_sample.mp3
49,TheHost,YTQ9Prompt10to70,the last kiss before die audiobook narrator,en,male,TheHost.mp3
52,junshizhubo,军事主播,本尼博客特,zh,male,junshizhubo.wav
54,qikejian,齐客见,audiobooks,zh,male,qikejian.mp3
58,sangzi,嗓子,audiobook,zh,male,sangzi.mp3
67,wangmingjun,王明军,audiobook,zh,male,wangmingjun.mp3
59,wuxiashuoshu01,武侠小说说书,audiobook，射雕英雄传,zh,male,wuxiashuoshu01.mp3
60,ximajiangshu01,喜马讲书01,narrator,zh,female,ximajiangshu01.mp3
61,ximajiangshu02,喜马讲书02,narrator,zh,male,ximajiangshu02.mp3
56,yangchen,杨晨,audiobooks,zh,female,yangchen.mp3
69,yanjixuan,晏积瑄,audiobook,zh,female,yanjixuan.mp3
66,yeqiantong,叶倩彤,audiobook,zh,female,yeqiantong.mp3
53,youtube_storytell_male_01,youtube_storytell_male_01,audiobooks,zh,male,youtube_storytell_male_01.mp3
